Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"BC7"	,"CL03A104KO3NNNC"	,"C0201"	,"64.513mm"	,"74.9mm"	,"64.513mm"	,"74.9mm"	,"64.787mm"	,"74.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC8"	,"CL03A104KO3NNNC"	,"C0201"	,"73.013mm"	,"74.9mm"	,"73.013mm"	,"74.9mm"	,"73.287mm"	,"74.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC9"	,"CL03A104KO3NNNC"	,"C0201"	,"81.513mm"	,"74.9mm"	,"81.513mm"	,"74.9mm"	,"81.787mm"	,"74.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC10"	,"CL03A104KO3NNNC"	,"C0201"	,"90.013mm"	,"74.9mm"	,"90.013mm"	,"74.9mm"	,"90.287mm"	,"74.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC11"	,"CL03A104KO3NNNC"	,"C0201"	,"98.513mm"	,"74.9mm"	,"98.513mm"	,"74.9mm"	,"98.787mm"	,"74.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC12"	,"CL03A104KO3NNNC"	,"C0201"	,"107.013mm"	,"74.9mm"	,"107.013mm"	,"74.9mm"	,"107.287mm"	,"74.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC13"	,"CL03A104KO3NNNC"	,"C0201"	,"115.513mm"	,"74.9mm"	,"115.513mm"	,"74.9mm"	,"115.787mm"	,"74.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC14"	,"CL03A104KO3NNNC"	,"C0201"	,"124.013mm"	,"74.9mm"	,"124.013mm"	,"74.9mm"	,"124.287mm"	,"74.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC15"	,"CL03A104KO3NNNC"	,"C0201"	,"132.513mm"	,"74.9mm"	,"132.513mm"	,"74.9mm"	,"132.787mm"	,"74.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
"BC16"	,"CL03A104KO3NNNC"	,"C0201"	,"141.013mm"	,"74.9mm"	,"141.013mm"	,"74.9mm"	,"141.287mm"	,"74.9mm"	,"T"	,"180"	,"Yes"	,"100nF"	,
